year,state,state_po,county,FIPS,candidate,party,candidatevotes,totalvotes,percent_votes
2012,Alabama,AL,Autauga,1001,Barack Obama,democrat,6363.0,23932,0.2658783219120842
2012,Alabama,AL,Autauga,1001,Mitt Romney,republican,17379.0,23932,0.7261825171318737
2012,Alabama,AL,Autauga,1001,Other,,190.0,23932,0.00793916095604212
2012,Alabama,AL,Baldwin,1003,Barack Obama,democrat,18424.0,85338,0.21589444327263352
2012,Alabama,AL,Baldwin,1003,Mitt Romney,republican,66016.0,85338,0.7735826946963837
2012,Alabama,AL,Baldwin,1003,Other,,898.0,85338,0.01052286203098268
2012,Alabama,AL,Barbour,1005,Barack Obama,democrat,5912.0,11509,0.5136849422191329
2012,Alabama,AL,Barbour,1005,Mitt Romney,republican,5550.0,11509,0.48223129724563385
2012,Alabama,AL,Barbour,1005,Other,,47.0,11509,0.004083760535233296
2012,Alabama,AL,Bibb,1007,Barack Obama,democrat,2202.0,8420,0.261520190023753
2012,Alabama,AL,Bibb,1007,Mitt Romney,republican,6132.0,8420,0.7282660332541567
2012,Alabama,AL,Bibb,1007,Other,,86.0,8420,0.010213776722090262
2012,Alabama,AL,Blount,1009,Barack Obama,democrat,2970.0,24006,0.12371907023244189
2012,Alabama,AL,Blount,1009,Mitt Romney,republican,20757.0,24006,0.8646588352911772
2012,Alabama,AL,Blount,1009,Other,,279.0,24006,0.011622094476380905
2012,Alabama,AL,Bullock,1011,Barack Obama,democrat,4061.0,5322,0.7630590003757985
2012,Alabama,AL,Bullock,1011,Mitt Romney,republican,1251.0,5322,0.2350620067643743
2012,Alabama,AL,Bullock,1011,Other,,10.0,5322,0.0018789928598271326
2012,Alabama,AL,Butler,1013,Barack Obama,democrat,4374.0,9496,0.4606149957877001
2012,Alabama,AL,Butler,1013,Mitt Romney,republican,5087.0,9496,0.5356992417860151
2012,Alabama,AL,Butler,1013,Other,,35.0,9496,0.0036857624262847514
2012,Alabama,AL,Calhoun,1015,Barack Obama,democrat,15511.0,46257,0.33532222150161056
2012,Alabama,AL,Calhoun,1015,Mitt Romney,republican,30278.0,46257,0.6545603908597618
2012,Alabama,AL,Calhoun,1015,Other,,468.0,46257,0.010117387638627667
2012,Alabama,AL,Chambers,1017,Barack Obama,democrat,6871.0,14611,0.4702621312709602
2012,Alabama,AL,Chambers,1017,Mitt Romney,republican,7626.0,14611,0.5219355280268291
2012,Alabama,AL,Chambers,1017,Other,,114.0,14611,0.007802340702210663
2012,Alabama,AL,Cherokee,1019,Barack Obama,democrat,2132.0,9779,0.21801820227017077
2012,Alabama,AL,Cherokee,1019,Mitt Romney,republican,7506.0,9779,0.7675631455159014
2012,Alabama,AL,Cherokee,1019,Other,,141.0,9779,0.014418652213927805
2012,Alabama,AL,Chilton,1021,Barack Obama,democrat,3397.0,17462,0.19453670828083838
2012,Alabama,AL,Chilton,1021,Mitt Romney,republican,13932.0,17462,0.7978467529492612
2012,Alabama,AL,Chilton,1021,Other,,133.0,17462,0.007616538769900355
2012,Alabama,AL,Choctaw,1023,Barack Obama,democrat,3786.0,7968,0.4751506024096386
2012,Alabama,AL,Choctaw,1023,Mitt Romney,republican,4152.0,7968,0.5210843373493976
2012,Alabama,AL,Choctaw,1023,Other,,30.0,7968,0.0037650602409638554
2012,Alabama,AL,Clarke,1025,Barack Obama,democrat,6334.0,13851,0.4572955021298101
2012,Alabama,AL,Clarke,1025,Mitt Romney,republican,7470.0,13851,0.539311241065627
2012,Alabama,AL,Clarke,1025,Other,,47.0,13851,0.0033932568045628476
2012,Alabama,AL,Clay,1027,Barack Obama,democrat,1777.0,6662,0.26673671570099067
2012,Alabama,AL,Clay,1027,Mitt Romney,republican,4817.0,6662,0.7230561392975082
2012,Alabama,AL,Clay,1027,Other,,68.0,6662,0.01020714500150105
2012,Alabama,AL,Cleburne,1029,Barack Obama,democrat,971.0,6305,0.15400475812846948
2012,Alabama,AL,Cleburne,1029,Mitt Romney,republican,5272.0,6305,0.836161776367962
2012,Alabama,AL,Cleburne,1029,Other,,62.0,6305,0.009833465503568596
2012,Alabama,AL,Coffee,1031,Barack Obama,democrat,4925.0,19770,0.24911482043500252
2012,Alabama,AL,Coffee,1031,Mitt Romney,republican,14666.0,19770,0.741831057157309
2012,Alabama,AL,Coffee,1031,Other,,179.0,19770,0.009054122407688417
2012,Alabama,AL,Colbert,1033,Barack Obama,democrat,9166.0,23385,0.3919606585418003
2012,Alabama,AL,Colbert,1033,Mitt Romney,republican,13936.0,23385,0.5959375668163353
2012,Alabama,AL,Colbert,1033,Other,,283.0,23385,0.012101774641864443
2012,Alabama,AL,Conecuh,1035,Barack Obama,democrat,3555.0,7022,0.5062660210766163
2012,Alabama,AL,Conecuh,1035,Mitt Romney,republican,3439.0,7022,0.4897465109655369
2012,Alabama,AL,Conecuh,1035,Other,,28.0,7022,0.003987467957846767
2012,Alabama,AL,Coosa,1037,Barack Obama,democrat,2191.0,5269,0.41582843044220913
2012,Alabama,AL,Coosa,1037,Mitt Romney,republican,3049.0,5269,0.5786676788764471
2012,Alabama,AL,Coosa,1037,Other,,29.0,5269,0.005503890681343709
2012,Alabama,AL,Covington,1039,Barack Obama,democrat,3158.0,15423,0.20475912598067822
2012,Alabama,AL,Covington,1039,Mitt Romney,republican,12153.0,15423,0.7879789924139272
2012,Alabama,AL,Covington,1039,Other,,112.0,15423,0.0072618816053945405
2012,Alabama,AL,Crenshaw,1041,Barack Obama,democrat,2050.0,6418,0.31941414770956683
2012,Alabama,AL,Crenshaw,1041,Mitt Romney,republican,4331.0,6418,0.6748208164537239
2012,Alabama,AL,Crenshaw,1041,Other,,37.0,6418,0.005765035836709256
2012,Alabama,AL,Cullman,1043,Barack Obama,democrat,5052.0,34457,0.14661752328989755
2012,Alabama,AL,Cullman,1043,Mitt Romney,republican,28999.0,34457,0.841599674957193
2012,Alabama,AL,Cullman,1043,Other,,406.0,34457,0.011782801752909423
2012,Alabama,AL,Dale,1045,Barack Obama,democrat,5286.0,18557,0.28485207738319773
2012,Alabama,AL,Dale,1045,Mitt Romney,republican,13108.0,18557,0.7063641752438433
2012,Alabama,AL,Dale,1045,Other,,163.0,18557,0.008783747372958992
2012,Alabama,AL,Dallas,1047,Barack Obama,democrat,14612.0,20953,0.6973703049682624
2012,Alabama,AL,Dallas,1047,Mitt Romney,republican,6288.0,20953,0.3001002243115544
2012,Alabama,AL,Dallas,1047,Other,,53.0,20953,0.0025294707201832674
2012,Alabama,AL,DeKalb,1049,Barack Obama,democrat,5239.0,23863,0.21954490214977163
2012,Alabama,AL,DeKalb,1049,Mitt Romney,republican,18331.0,23863,0.7681766751875289
2012,Alabama,AL,DeKalb,1049,Other,,293.0,23863,0.012278422662699576
2012,Alabama,AL,Elmore,1051,Barack Obama,democrat,8954.0,35485,0.25233197125546003
2012,Alabama,AL,Elmore,1051,Mitt Romney,republican,26253.0,35485,0.7398337325630548
2012,Alabama,AL,Elmore,1051,Other,,278.0,35485,0.007834296181485135
2012,Alabama,AL,Escambia,1053,Barack Obama,democrat,5489.0,14869,0.36915730714910217
2012,Alabama,AL,Escambia,1053,Mitt Romney,republican,9287.0,14869,0.6245880691371309
2012,Alabama,AL,Escambia,1053,Other,,93.0,14869,0.006254623713766898
2012,Alabama,AL,Etowah,1055,Barack Obama,democrat,12803.0,42530,0.3010345638372913
2012,Alabama,AL,Etowah,1055,Mitt Romney,republican,29130.0,42530,0.6849282859158241
2012,Alabama,AL,Etowah,1055,Other,,597.0,42530,0.014037150246884553
2012,Alabama,AL,Fayette,1057,Barack Obama,democrat,1817.0,7946,0.22866851245909892
2012,Alabama,AL,Fayette,1057,Mitt Romney,republican,6054.0,7946,0.7618927762396174
2012,Alabama,AL,Fayette,1057,Other,,75.0,7946,0.009438711301283665
2012,Alabama,AL,Franklin,1059,Barack Obama,democrat,3171.0,10859,0.2920158393958928
2012,Alabama,AL,Franklin,1059,Mitt Romney,republican,7567.0,10859,0.6968413297725389
2012,Alabama,AL,Franklin,1059,Other,,121.0,10859,0.011142830831568284
