year,state,state_po,county,FIPS,candidate,party,candidatevotes,totalvotes,percent_votes
2000,Alabama,AL,Autauga,1001.0,Al Gore,democrat,4942.0,17208,0.2871920037192004
2000,Alabama,AL,Autauga,1001.0,George W. Bush,republican,11993.0,17208,0.6969432821943282
2000,Alabama,AL,Autauga,1001.0,Ralph Nader,green,160.0,17208,0.009298000929800094
2000,Alabama,AL,Autauga,1001.0,Other,,113.0,17208,0.006566713156671316
2000,Alabama,AL,Baldwin,1003.0,Al Gore,democrat,13997.0,56480,0.24782223796033995
2000,Alabama,AL,Baldwin,1003.0,George W. Bush,republican,40872.0,56480,0.7236543909348442
2000,Alabama,AL,Baldwin,1003.0,Ralph Nader,green,1033.0,56480,0.018289660056657223
2000,Alabama,AL,Baldwin,1003.0,Other,,578.0,56480,0.01023371104815864
2000,Alabama,AL,Barbour,1005.0,Al Gore,democrat,5188.0,10395,0.4990860990860991
2000,Alabama,AL,Barbour,1005.0,George W. Bush,republican,5096.0,10395,0.49023569023569025
2000,Alabama,AL,Barbour,1005.0,Ralph Nader,green,46.0,10395,0.004425204425204425
2000,Alabama,AL,Barbour,1005.0,Other,,65.0,10395,0.006253006253006253
2000,Alabama,AL,Bibb,1007.0,Al Gore,democrat,2710.0,7101,0.381636389240952
2000,Alabama,AL,Bibb,1007.0,George W. Bush,republican,4273.0,7101,0.6017462329249401
2000,Alabama,AL,Bibb,1007.0,Ralph Nader,green,52.0,7101,0.007322912265878045
2000,Alabama,AL,Bibb,1007.0,Other,,66.0,7101,0.009294465568229826
2000,Alabama,AL,Blount,1009.0,Al Gore,democrat,4977.0,17973,0.2769153730595894
2000,Alabama,AL,Blount,1009.0,George W. Bush,republican,12667.0,17973,0.704779391309186
2000,Alabama,AL,Blount,1009.0,Ralph Nader,green,154.0,17973,0.008568408167807266
2000,Alabama,AL,Blount,1009.0,Other,,175.0,17973,0.009736827463417348
2000,Alabama,AL,Bullock,1011.0,Al Gore,democrat,3395.0,4904,0.6922920065252854
2000,Alabama,AL,Bullock,1011.0,George W. Bush,republican,1433.0,4904,0.29221044045676997
2000,Alabama,AL,Bullock,1011.0,Ralph Nader,green,24.0,4904,0.004893964110929853
2000,Alabama,AL,Bullock,1011.0,Other,,52.0,4904,0.010603588907014683
2000,Alabama,AL,Butler,1013.0,Al Gore,democrat,3606.0,7803,0.46212995001922336
2000,Alabama,AL,Butler,1013.0,George W. Bush,republican,4127.0,7803,0.5288991413558888
2000,Alabama,AL,Butler,1013.0,Ralph Nader,green,36.0,7803,0.00461361014994233
2000,Alabama,AL,Butler,1013.0,Other,,34.0,7803,0.004357298474945534
2000,Alabama,AL,Calhoun,1015.0,Al Gore,democrat,15781.0,38909,0.40558739623223417
2000,Alabama,AL,Calhoun,1015.0,George W. Bush,republican,22306.0,38909,0.5732863861831453
2000,Alabama,AL,Calhoun,1015.0,Ralph Nader,green,481.0,38909,0.012362178416304711
2000,Alabama,AL,Calhoun,1015.0,Other,,341.0,38909,0.008764039168315814
2000,Alabama,AL,Chambers,1017.0,Al Gore,democrat,5616.0,11834,0.47456481324995775
2000,Alabama,AL,Chambers,1017.0,George W. Bush,republican,6037.0,11834,0.5101402737873922
2000,Alabama,AL,Chambers,1017.0,Ralph Nader,green,95.0,11834,0.008027716748352206
2000,Alabama,AL,Chambers,1017.0,Other,,86.0,11834,0.007267196214297786
2000,Alabama,AL,Cherokee,1019.0,Al Gore,democrat,3497.0,7823,0.4470152115556692
2000,Alabama,AL,Cherokee,1019.0,George W. Bush,republican,4154.0,7823,0.5309983382334142
2000,Alabama,AL,Cherokee,1019.0,Ralph Nader,green,77.0,7823,0.009842771315352166
2000,Alabama,AL,Cherokee,1019.0,Other,,95.0,7823,0.012143678895564362
2000,Alabama,AL,Chilton,1021.0,Al Gore,democrat,4806.0,15092,0.3184468592631858
2000,Alabama,AL,Chilton,1021.0,George W. Bush,republican,10066.0,15092,0.6669758812615956
2000,Alabama,AL,Chilton,1021.0,Ralph Nader,green,92.0,15092,0.0060959448714550755
2000,Alabama,AL,Chilton,1021.0,Other,,128.0,15092,0.008481314603763583
2000,Alabama,AL,Choctaw,1023.0,Al Gore,democrat,3707.0,7374,0.5027122321670735
2000,Alabama,AL,Choctaw,1023.0,George W. Bush,republican,3600.0,7374,0.4882017900732303
2000,Alabama,AL,Choctaw,1023.0,Ralph Nader,green,33.0,7374,0.004475183075671277
2000,Alabama,AL,Choctaw,1023.0,Other,,34.0,7374,0.004610794684024953
2000,Alabama,AL,Clarke,1025.0,Al Gore,democrat,4679.0,10752,0.43517485119047616
2000,Alabama,AL,Clarke,1025.0,George W. Bush,republican,5988.0,10752,0.5569196428571429
2000,Alabama,AL,Clarke,1025.0,Ralph Nader,green,33.0,10752,0.0030691964285714285
2000,Alabama,AL,Clarke,1025.0,Other,,52.0,10752,0.004836309523809524
2000,Alabama,AL,Clay,1027.0,Al Gore,democrat,2045.0,5883,0.34761176270610233
2000,Alabama,AL,Clay,1027.0,George W. Bush,republican,3719.0,5883,0.6321604623491416
2000,Alabama,AL,Clay,1027.0,Ralph Nader,green,52.0,5883,0.008839027706952236
2000,Alabama,AL,Clay,1027.0,Other,,67.0,5883,0.011388747237803842
2000,Alabama,AL,Cleburne,1029.0,Al Gore,democrat,1664.0,5092,0.3267871170463472
2000,Alabama,AL,Cleburne,1029.0,George W. Bush,republican,3333.0,5092,0.6545561665357423
2000,Alabama,AL,Cleburne,1029.0,Ralph Nader,green,39.0,5092,0.007659073055773763
2000,Alabama,AL,Cleburne,1029.0,Other,,56.0,5092,0.010997643362136685
2000,Alabama,AL,Coffee,1031.0,Al Gore,democrat,5220.0,15434,0.3382143319942983
2000,Alabama,AL,Coffee,1031.0,George W. Bush,republican,9938.0,15434,0.6439030711416354
2000,Alabama,AL,Coffee,1031.0,Ralph Nader,green,155.0,15434,0.010042762731631462
2000,Alabama,AL,Coffee,1031.0,Other,,121.0,15434,0.007839834132434885
2000,Alabama,AL,Colbert,1033.0,Al Gore,democrat,10543.0,21532,0.4896433215678989
2000,Alabama,AL,Colbert,1033.0,George W. Bush,republican,10518.0,21532,0.4884822589634033
2000,Alabama,AL,Colbert,1033.0,Ralph Nader,green,208.0,21532,0.009660040869403677
2000,Alabama,AL,Colbert,1033.0,Other,,263.0,21532,0.012214378599294074
2000,Alabama,AL,Conecuh,1035.0,Al Gore,democrat,2783.0,5551,0.5013511079084849
2000,Alabama,AL,Conecuh,1035.0,George W. Bush,republican,2699.0,5551,0.4862186993334534
2000,Alabama,AL,Conecuh,1035.0,Ralph Nader,green,35.0,5551,0.006305170239596469
2000,Alabama,AL,Conecuh,1035.0,Other,,34.0,5551,0.006125022518465141
2000,Alabama,AL,Coosa,1037.0,Al Gore,democrat,2104.0,4567,0.46069629954017954
2000,Alabama,AL,Coosa,1037.0,George W. Bush,republican,2382.0,4567,0.5215677687760018
2000,Alabama,AL,Coosa,1037.0,Ralph Nader,green,34.0,4567,0.007444712064812787
2000,Alabama,AL,Coosa,1037.0,Other,,47.0,4567,0.010291219619005912
2000,Alabama,AL,Covington,1039.0,Al Gore,democrat,4440.0,13613,0.3261588187761698
2000,Alabama,AL,Covington,1039.0,George W. Bush,republican,8961.0,13613,0.6582678322192023
2000,Alabama,AL,Covington,1039.0,Ralph Nader,green,123.0,13613,0.009035480790420922
2000,Alabama,AL,Covington,1039.0,Other,,89.0,13613,0.006537868214207008
2000,Alabama,AL,Crenshaw,1041.0,Al Gore,democrat,1934.0,4795,0.4033368091762252
2000,Alabama,AL,Crenshaw,1041.0,George W. Bush,republican,2793.0,4795,0.5824817518248175
2000,Alabama,AL,Crenshaw,1041.0,Ralph Nader,green,40.0,4795,0.008342022940563087
2000,Alabama,AL,Crenshaw,1041.0,Other,,28.0,4795,0.00583941605839416
2000,Alabama,AL,Cullman,1043.0,Al Gore,democrat,9758.0,29525,0.3304995766299746
2000,Alabama,AL,Cullman,1043.0,George W. Bush,republican,19157.0,29525,0.648839966130398
2000,Alabama,AL,Cullman,1043.0,Ralph Nader,green,282.0,29525,0.009551227773073667
2000,Alabama,AL,Cullman,1043.0,Other,,328.0,29525,0.011109229466553768
2000,Alabama,AL,Dale,1045.0,Al Gore,democrat,4906.0,15806,0.3103884600784512
2000,Alabama,AL,Dale,1045.0,George W. Bush,republican,10593.0,15806,0.6701885359989878
2000,Alabama,AL,Dale,1045.0,Ralph Nader,green,188.0,15806,0.01189421738580286
2000,Alabama,AL,Dale,1045.0,Other,,119.0,15806,0.007528786536758193
2000,Alabama,AL,Dallas,1047.0,Al Gore,democrat,10967.0,18464,0.5939666377816292
2000,Alabama,AL,Dallas,1047.0,George W. Bush,republican,7360.0,18464,0.3986135181975737
2000,Alabama,AL,Dallas,1047.0,Ralph Nader,green,63.0,18464,0.0034120450606585787
2000,Alabama,AL,Dallas,1047.0,Other,,74.0,18464,0.004007798960138648
2000,Alabama,AL,DeKalb,1049.0,Al Gore,democrat,7056.0,20285,0.3478432339166872
2000,Alabama,AL,DeKalb,1049.0,George W. Bush,republican,12827.0,20285,0.6323391668720729
2000,Alabama,AL,DeKalb,1049.0,Ralph Nader,green,175.0,20285,0.00862706433325117
2000,Alabama,AL,DeKalb,1049.0,Other,,227.0,20285,0.011190534877988661
2000,Alabama,AL,Elmore,1051.0,Al Gore,democrat,6652.0,23804,0.2794488321290539
2000,Alabama,AL,Elmore,1051.0,George W. Bush,republican,16777.0,23804,0.7047975130230213
2000,Alabama,AL,Elmore,1051.0,Ralph Nader,green,212.0,23804,0.008906066207360107
2000,Alabama,AL,Elmore,1051.0,Other,,163.0,23804,0.006847588640564611
2000,Alabama,AL,Escambia,1053.0,Al Gore,democrat,4523.0,11660,0.3879073756432247
2000,Alabama,AL,Escambia,1053.0,George W. Bush,republican,6975.0,11660,0.5981989708404802
2000,Alabama,AL,Escambia,1053.0,Ralph Nader,green,78.0,11660,0.006689536878216123
2000,Alabama,AL,Escambia,1053.0,Other,,84.0,11660,0.007204116638078902
2000,Alabama,AL,Etowah,1055.0,Al Gore,democrat,17433.0,39348,0.4430466605672461
2000,Alabama,AL,Etowah,1055.0,George W. Bush,republican,21087.0,39348,0.5359103385178408
2000,Alabama,AL,Etowah,1055.0,Ralph Nader,green,435.0,39348,0.011055199756023178
2000,Alabama,AL,Etowah,1055.0,Other,,393.0,39348,0.009987801158889906
2000,Alabama,AL,Fayette,1057.0,Al Gore,democrat,3064.0,7808,0.39241803278688525
2000,Alabama,AL,Fayette,1057.0,George W. Bush,republican,4582.0,7808,0.5868340163934426
2000,Alabama,AL,Fayette,1057.0,Ralph Nader,green,60.0,7808,0.007684426229508197
2000,Alabama,AL,Fayette,1057.0,Other,,102.0,7808,0.013063524590163935
2000,Alabama,AL,Franklin,1059.0,Al Gore,democrat,4793.0,11103,0.43168513014500587
2000,Alabama,AL,Franklin,1059.0,George W. Bush,republican,6119.0,11103,0.551112311987751
2000,Alabama,AL,Franklin,1059.0,Ralph Nader,green,72.0,11103,0.006484733855714671
2000,Alabama,AL,Franklin,1059.0,Other,,119.0,11103,0.010717824011528416
2000,Alabama,AL,Geneva,1061.0,Al Gore,democrat,2769.0,9559,0.28967465216026783
2000,Alabama,AL,Geneva,1061.0,George W. Bush,republican,6588.0,9559,0.6891934302751334
2000,Alabama,AL,Geneva,1061.0,Ralph Nader,green,97.0,9559,0.010147504969139031
2000,Alabama,AL,Geneva,1061.0,Other,,105.0,9559,0.010984412595459776
2000,Alabama,AL,Greene,1063.0,Al Gore,democrat,3504.0,4396,0.7970882620564149
2000,Alabama,AL,Greene,1063.0,George W. Bush,republican,850.0,4396,0.19335759781619655
2000,Alabama,AL,Greene,1063.0,Ralph Nader,green,24.0,4396,0.00545950864422202
2000,Alabama,AL,Greene,1063.0,Other,,18.0,4396,0.004094631483166515
2000,Alabama,AL,Hale,1065.0,Al Gore,democrat,4652.0,7731,0.6017332815935843
2000,Alabama,AL,Hale,1065.0,George W. Bush,republican,2984.0,7731,0.3859785280041392
2000,Alabama,AL,Hale,1065.0,Ralph Nader,green,43.0,7731,0.005562023024188333
2000,Alabama,AL,Hale,1065.0,Other,,52.0,7731,0.006726167378088216
2000,Alabama,AL,Henry,1067.0,Al Gore,democrat,2782.0,6932,0.4013271783035199
2000,Alabama,AL,Henry,1067.0,George W. Bush,republican,4054.0,6932,0.5848240046162724
2000,Alabama,AL,Henry,1067.0,Ralph Nader,green,48.0,6932,0.006924408540103866
2000,Alabama,AL,Henry,1067.0,Other,,48.0,6932,0.006924408540103866
2000,Alabama,AL,Houston,1069.0,Al Gore,democrat,9412.0,32057,0.29360202139938235
2000,Alabama,AL,Houston,1069.0,George W. Bush,republican,22150.0,32057,0.6909567333187759
2000,Alabama,AL,Houston,1069.0,Ralph Nader,green,257.0,32057,0.00801696977259257
2000,Alabama,AL,Houston,1069.0,Other,,238.0,32057,0.00742427550924915
2000,Alabama,AL,Jackson,1071.0,Al Gore,democrat,9066.0,17906,0.506310733832235
2000,Alabama,AL,Jackson,1071.0,George W. Bush,republican,8475.0,17906,0.47330503741762536
2000,Alabama,AL,Jackson,1071.0,Ralph Nader,green,184.0,17906,0.010275885178152575
2000,Alabama,AL,Jackson,1071.0,Other,,181.0,17906,0.010108343571987043
2000,Alabama,AL,Jefferson,1073.0,Al Gore,democrat,129889.0,273763,0.4744578339658756
2000,Alabama,AL,Jefferson,1073.0,George W. Bush,republican,138491.0,273763,0.5058791728611974
2000,Alabama,AL,Jefferson,1073.0,Ralph Nader,green,3393.0,273763,0.012393931977659508
2000,Alabama,AL,Jefferson,1073.0,Other,,1990.0,273763,0.00726906119526744
2000,Alabama,AL,Lamar,1075.0,Al Gore,democrat,2653.0,7249,0.3659815146916816
2000,Alabama,AL,Lamar,1075.0,George W. Bush,republican,4470.0,7249,0.6166367774865499
2000,Alabama,AL,Lamar,1075.0,Ralph Nader,green,57.0,7249,0.007863153538419092
2000,Alabama,AL,Lamar,1075.0,Other,,69.0,7249,0.009518554283349428
2000,Alabama,AL,Lauderdale,1077.0,Al Gore,democrat,13875.0,32137,0.4317453402620033
2000,Alabama,AL,Lauderdale,1077.0,George W. Bush,republican,17478.0,32137,0.5438591032143635
2000,Alabama,AL,Lauderdale,1077.0,Ralph Nader,green,354.0,32137,0.011015340573171111
2000,Alabama,AL,Lauderdale,1077.0,Other,,430.0,32137,0.013380215950462085
2000,Alabama,AL,Lawrence,1079.0,Al Gore,democrat,6296.0,12185,0.5167008617152237
2000,Alabama,AL,Lawrence,1079.0,George W. Bush,republican,5671.0,12185,0.4654082888797702
2000,Alabama,AL,Lawrence,1079.0,Ralph Nader,green,63.0,12185,0.005170291341813705
2000,Alabama,AL,Lawrence,1079.0,Other,,155.0,12185,0.01272055806319245
2000,Alabama,AL,Lee,1081.0,Al Gore,democrat,14574.0,38264,0.38088020071085094
2000,Alabama,AL,Lee,1081.0,George W. Bush,republican,22433.0,38264,0.5862690779845285
2000,Alabama,AL,Lee,1081.0,Ralph Nader,green,895.0,38264,0.023390131716495923
2000,Alabama,AL,Lee,1081.0,Other,,362.0,38264,0.009460589588124608
2000,Alabama,AL,Limestone,1083.0,Al Gore,democrat,8992.0,23634,0.3804688161123805
2000,Alabama,AL,Limestone,1083.0,George W. Bush,republican,14204.0,23634,0.600998561394601
2000,Alabama,AL,Limestone,1083.0,Ralph Nader,green,193.0,23634,0.008166201235508166
2000,Alabama,AL,Limestone,1083.0,Other,,245.0,23634,0.010366421257510366
